Datetime,Tweet_Id,Text,Username,Reply_to,Hashtags,original
2023-05-05 21:42:19+00:00,1654602450337247232,@Vazzzquez_12 En 8' aproximadamente. Un saludo.,CercaniasMadrid,1654601080129323008,,@CercaniasMadridel proximo tren destino parla desde sol??
2023-05-05 20:55:20+00:00,1654590624484450305,"@infisnsd Habitualmente vía 6, no obstante, te recomendamos que prestes atención a megafonía y teleindicadores ante posibles cambios. Un saludo.",CercaniasMadrid,1654588955734450178,,"Hola, ¿en qué vía está el tren dirección Aranjuez? Los luminosos de Atocha están confundiendo a la gente...@CercaniasMadridGracias."
2023-05-05 20:36:19+00:00,1654585837949005824,@NCholodowska En 25' aproximadamente. Un saludo y buena noche.,CercaniasMadrid,1654584969165938692,,@CercaniasMadridpróximo tren destino Guadalajara desde Alcalá?
2023-05-05 20:30:27+00:00,1654584361520332801,"@_angelasdfg Hola, algunos trenes circulan con demora, pero siguiendo su recorrido habitual. Un saludo y disculpa la espera.",CercaniasMadrid,1654574448710766593,,
2023-05-05 20:30:08+00:00,1654584284282331143,"@naataliadiaz2 Hola, el tren efectuó su entrada en la estación al minuto de escribirnos. Un saludo y disculpa la espera.",CercaniasMadrid,1654575257523478529,,"@CercaniasMadridcuando pasa el siguiente tren por nuevos ministerios, dirección aeropuerto"
2023-05-05 20:29:58+00:00,1654584243463307265,"@plaatanoo Hola, el tren efectuó su entrada en la estación al minuto de escribirnos. Un saludo y disculpa la espera.",CercaniasMadrid,1654576043506761728,,
2023-05-05 20:29:19+00:00,1654584076286799872,"@manuel_boyero Hola, comprobamos que el tren realizó una parada técnica debido a necesidades de la circulación. Un saludo y disculpa la espera.",CercaniasMadrid,1654576898129764354,,@CercaniasMadridcercanías Alcobendas con salida de Chamartín a las 21:43 continúa parado en Chamartín con las luces interiores apagadas y los viajeros en su interior. Alguna novedad? Son las 22:00. Gracias.
2023-05-05 20:29:12+00:00,1654584047077670918,"@AsanzCanarias Hola, comprobamos que el tren realizó una parada técnica debido a necesidades de la circulación. Un saludo y disculpa la espera.",CercaniasMadrid,1654577172839899140,,@CercaniasMadridmás de 15 minutos esperando tren en Chamartin destino Atocha. En las vías 6 y 7... hay dos trenes parados y sin salir... cuál sale antes y a qué hora?
2023-05-05 20:28:03+00:00,1654583758991892480,"@ismytuit Hola, comprobamos que el tren realizó una parada técnica debido a necesidades de la circulación. Un saludo y disculpa la espera.",CercaniasMadrid,1654573892537655298,,
2023-05-05 20:27:08+00:00,1654583528372273152,"@jonylugo7 Hola, algunos trenes circulan con demora, pero siguiendo su recorrido habitual. Un saludo y disculpa la espera Jonathan.",CercaniasMadrid,1654581751971295233,,
2023-05-05 20:26:15+00:00,1654583304698441734,@DiatheDiana El tren llegará en 15'. Un saludo y disculpa la espera.,CercaniasMadrid,1654580337752637440,,"@CercaniasMadridllevo más de 25 minutos esperando el tren a Guadalajara desde Vallecas, cuando va a pasar??"
2023-05-05 20:24:59+00:00,1654582988565274631,@Duur__ El tren llegará en 9'. Un saludo y disculpa la espera.,CercaniasMadrid,1654580663259897863,,"@CercaniasMadridhola, que pasa con el tren de Villalba? Estoy en el barrial y no ha pasado el de las 22:11, tampoco aparece en la aplicación el de las 22:40"
2023-05-05 19:43:26+00:00,1654572530261213188,@danybrown Comprobamos que el tren está próximo a efectuar su entrada en la estación. Un saludo.,CercaniasMadrid,1654568608230416385,,@CercaniasMadridtren con destino Chamartin por estación de Vallecas? Tenía que haber pasado alrededor de 15 minutos
2023-05-05 19:19:46+00:00,1654566575364534275,@sin_sangre El tren está próximo a efectuar su salida de Aeropuerto T4. Un saludo y disculpa la espera.,CercaniasMadrid,1654566117820514304,,"¿Talleres didácticos para conocer más sobre el mundo de los trenes y estaciones, visitas guiadas o un viaje en un tren especial? ¡No lo pienses, vente al@M_Ferrocarril!  

🔴 Tarifas especiales para grupos.
Más info:bit.ly/3oBDv9C#EducaTren@ffe_es"
2023-05-05 19:18:56+00:00,1654566366509248515,"@sandryatmgeta83 Hola, comprobamos que el tren con destino Guadalajara está próximo a efectuar su salida de la estación. Un saludo y disculpa la espera.",CercaniasMadrid,1654564386411773953,,@CercaniasMadridestamos en Chamartín esperando tren dirección Atocha que viene con retraso direcc Guadalajara y Alcalá ¿algún problema hay? Gracias
2023-05-05 19:18:03+00:00,1654566142839775232,@_JavierMarin El tren circula con unos minutos de demora debido a que los acumuló en su trayecto anterior. Un saludo y disculpa la espera.,CercaniasMadrid,1654565666064662531,,"Hola, buenas noches@CercaniasMadridestoy en el Barrial y el C7 dirección Las Rozas que pasaba a las 20:57 no ha pasado. No sale ni en las pantallas..."
2023-05-05 19:17:18+00:00,1654565952330117120,@jime_veinte El tren llegará en menos de 5'. Un saludo y disculpa la espera Jimena.,CercaniasMadrid,1654564811773030400,,
2023-05-05 19:15:37+00:00,1654565530315964420,"@yawnseca Hola, en 10' aproximadamente. Un saludo y buena tarde.",CercaniasMadrid,1654564185030656000,,"@CercaniasMadridHola! 

Cuando pasa el próximo tren por Méndez Álvaro hacia Príncipe Pío? 

Gracias!"
2023-05-05 19:13:16+00:00,1654564938457686017,@Carlos_litris El tren llegará en menos de 2'. Un saludo y disculpa la espera.,CercaniasMadrid,1654563223415169026,,"@CercaniasMadrid30 minutos esperando en el aeropuerto, a que hora pasará algún tren ?"
2023-05-05 19:12:34+00:00,1654564762456584193,@jime_veinte ¿En qué estación?,CercaniasMadrid,1654561324205056001,,
2023-05-05 19:12:13+00:00,1654564675936296960,"@alvarophto Hola, el tren llegará en 2'. Un saludo y disculpa la espera.",CercaniasMadrid,1654562138554347520,,"Hola, buenas noches@CercaniasMadridestoy en el Barrial y el C7 dirección Las Rozas que pasaba a las 20:57 no ha pasado. No sale ni en las pantallas..."
2023-05-05 19:11:39+00:00,1654564533275435008,"@carmen26306189 Sí, el tren está próximo a efectuar su salida de la estación. Un saludo.",CercaniasMadrid,1654560292091703296,,"@CercaniasMadridpues aquí sigo esperando el civis de las 20,38 que me han dicho vendría en 10 minutos, han pasado 15 y hasta lo han quitado del panel,así juegan con nuestras vidas"
2023-05-05 18:54:03+00:00,1654560102962036743,"@carmen26306189 Hola, el tren llegará a Chamartín en 5' aproximadamente. Un saludo y disculpa la espera Carmen.",CercaniasMadrid,1654559345831559175,,"@CercaniasMadridpues aquí sigo esperando el civis de las 20,38 que me han dicho vendría en 10 minutos, han pasado 15 y hasta lo han quitado del panel,así juegan con nuestras vidas"
2023-05-05 18:53:19+00:00,1654559919176298503,"@siilrvyk Hola, el tren está próximo a efectuar su salida de la estación. Un saludo y disculpa la espera.",CercaniasMadrid,1654559086267039750,,"@CercaniasMadridhola, cuando sale el tren de Chamartín dirección Guadalajara? Gracias"
2023-05-05 18:48:20+00:00,1654558664055836673,"@miichelleeeeeh Hola Michelle, el siguiente tren llegará en 3' aproximadamente. Un saludo.",CercaniasMadrid,1654557870938046465,,
2023-05-05 18:41:56+00:00,1654557053355012097,"@tramp_net Hola de nuevo, en principio sería en la vía 4, pero eso podría variar porque se asignan las vías al entrar en la estación, por ello te recomendamos que estés atento a megafonía y paneles luminosos, un saludo.",CercaniasMadrid,1654555738184744961,,"Buenos días. 
¿Todavía no has probado nuestro sistema de avisos personalizados? Suscríbete en@CercaniasAvisosy recibe información en tiempo real 🕖 sobre el estado de la circulación de los trenes de Cercanías.#FelizfindesemanaFotografía de@pablorue96¡Muchísimas gracias!"
2023-05-05 18:40:08+00:00,1654556602937081857,"@carmen26306189 Hola está previsto que efectúe salida desde Chamartín con una demora de 10' aproximadamente, un saludo.",CercaniasMadrid,1654555315046608899,,"@CercaniasMadridel civis de las 20,38 dirección Guadalajara va a salir?"
2023-05-05 18:34:49+00:00,1654555263989432320,"@tramp_net Hola, lo tienes en 10' aproximadamente, un saludo.",CercaniasMadrid,1654554721586225152,,"Buenos días. 
¿Todavía no has probado nuestro sistema de avisos personalizados? Suscríbete en@CercaniasAvisosy recibe información en tiempo real 🕖 sobre el estado de la circulación de los trenes de Cercanías.#FelizfindesemanaFotografía de@pablorue96¡Muchísimas gracias!"
2023-05-05 18:10:27+00:00,1654549129350074370,"@mynameispablo3 Hola, tienes el próximo en 2' aproximadamente, un saludo.",CercaniasMadrid,1654548681880748032,,@CercaniasMadridcuando es el próximo tren para Guadalajara desde atocha? Deberían haber pasado ya como dos desde que estoy esperando...
2023-05-05 18:02:17+00:00,1654547074967302146,"@meryy1308__ Hola, el tren llegará en 10' aproximadamente. Un saludo y disculpa la espera María.",CercaniasMadrid,1654546753310412801,,@CercaniasMadrid¿Cuándo llega el tren de las 20.01 a Aeropuerto T4?
